"name","technology","fuel","nameplate_capacity_mw","status","planning_status","country","admin_division_level_1","date_commercial_operation","date_end_operation","geom_point","latitude","longitude","geom_area","website","note"
"133 Castlereagh St",Reciprocating Engine - Compression ignition,Fossil - Natural Gas,1.0,Operational,,Australia,New South Wales,,,,,,,,
"275 Kent St",Reciprocating Engine - Compression ignition,Fossil - Natural Gas Pipeline,1.2,Decommissioned,,Australia,New South Wales,,"2025-06-04",,,,,,
"321 Exhibition Street Trigen",Reciprocating Engine - Spark ignition,Fossil - Natural Gas Pipeline,1.2,Decommissioned,,Australia,Victoria,,"2023-01-05",,,,,,
"40 Mount St",Reciprocating Engine - Compression ignition,Fossil - Natural Gas Pipeline,0.8,Decommissioned,,Australia,New South Wales,,"2025-04-02",,,,,,
"8 Chifley Place",Reciprocating Engine - Compression ignition,Fossil - Natural Gas Pipeline,0.4,Decommissioned,,Australia,New South Wales,,"2025-06-04",,,,,,
"990 Latrobe St",Reciprocating Engine - Compression ignition,Fossil - Natural Gas Pipeline,0.39,Operational,,Australia,Victoria,,,,,,,,
Abermain BESS,Storage - Battery,Other - Other,200.0,Development,,Australia,Queensland,,,,,,,,
Acacia Offshore Wind Farm,Wind Turbine - Offshore,Wind - Wind,3100.0,Development,,Australia,Victoria,,,,,,,,
Acacia SF (Lambruk Solar Project),Solar PV - Single axis tracking,Solar - Solar,300.0,Development,,Australia,New South Wales,"2027-01-03",,,,,,,
Adelaide Airport,Solar PV - Fixed,Solar - Solar,1.17,Operational,,Australia,South Australia,,,,,,,,
Adelaide Desalination Plant - BESS,Storage - Battery,Other - Other,6.27,Operational,,Australia,South Australia,"2022-01-05",,POINT (138.48384 -35.09984),-35.09984,138.48384,,,
Adelaide Desalination Plant - Solar PV1,Solar PV - Fixed,Solar - Solar,11.0,Operational,,Australia,South Australia,"2022-01-05",,POINT (138.48384 -35.09984),-35.09984,138.48384,,,TODO Check nameplate
Adelaide Desalination Plant - Solar PV2,Solar PV - Fixed,Solar - Solar,13.72,Operational,,Australia,South Australia,"2022-01-07",,POINT (138.48384 -35.09984),-35.09984,138.48384,,,TODO Check nameplate
Adelaide Zoo Solar System,Solar PV - Fixed,Solar - Solar,0.15,Operational,,Australia,South Australia,,,,,,,,
Aeroten Leongatha Solar,Solar PV - Fixed,Solar - Solar,0.2,Operational,,Australia,Victoria,,,,,,,,
Agnew Hybrid Renewable Microgrid - Wind Farm,Wind Turbine - Onshore,Wind - Wind,18.0,Operational,Approved,Australia,Western Australia,"2020-05-01",,POINT (120.5168989 -27.9843576),-27.9843576,120.5168989,,https://edlenergy.com/project/agnew/,
Albany Wind Farm,Wind Turbine - Onshore,Wind - Wind,21.6,Operational,,Australia,Western Australia,"2010-10-01",,POINT (117.78542061369185 -35.05918192085409),-35.05918192085409,117.78542061369185,,https://www.brightenergyinvestments.com.au/albany-grasmere-wind-farm,Albany WInd Farm Stage 1; https://www.synergy.net.au/Blog/2018/07/History-of-wind-farms-in-WA
Alberton Wind Farm,Wind Turbine - Onshore,Wind - Wind,122.4,Abandoned,,Australia,Victoria,,,POINT (146.6319 -38.6271),-38.6271,146.6319,,,Source: Gem wiki https://www.gem.wiki/Alberton_wind_farm
Albury Renewable Energy Facility,Reciprocating Engine - Spark ignition,Renewable Biomass or Waste - Landfill Gas,1.12,Operational,,Australia,New South Wales,,,,,,,,
Aldi Brendale,Solar PV - Fixed,Solar - Solar,0.93,Operational,,Australia,Queensland,,,,,,,,
Aldoga BESS Stage 1,Storage - Battery,Other - Other,,Development,,Australia,Queensland,"2025-01-11",,,,,,,
Aldoga Solar Farm,Solar PV - Single axis tracking,Solar - Solar,214.5,Development,,Australia,Queensland,,,POINT (151.038643 -23.80474107),-23.80474107,151.038643,,,
Altona BESS,Storage - Battery,Other - Other,100.0,Development,,Australia,Victoria,"2027-01-06",,,,,,,
Angaston,Reciprocating Engine - Compression ignition,Fossil - Diesel,36.0,Operational,,Australia,South Australia,,,POINT (139.02457018 -34.50344259),-34.50344259,139.02457018,,,
Appin,Reciprocating Engine - Spark ignition,Fossil - Waste Coal Mine Gas,55.62,Operational,,Australia,New South Wales,,,POINT (150.772153 -34.207596),-34.207596,150.772153,,,
Apsley BESS Project,Storage - Battery,Other - Other,120.0,Development,,Australia,New South Wales,,,,,,,,
Aquila Wind Farm,Wind Turbine - Onshore,Wind - Wind,340.0,Development,,Australia,New South Wales,,,,,,,,
Aramara Solar Farm,Solar PV - Single axis tracking,Solar - Solar,101.4,Development,,Australia,Queensland,"2026-01-06",,,,,,,
