"name","technology","fuel","nameplate_capacity_mw","status","planning_status","country","admin_division_level_1","date_commercial_operation","date_end_operation","geom_point","latitude","longitude","geom_area","website","note","geom_multipoint","wind_turbine_oem","wind_turbine_model","wind_turbine_type","wind_turbine_rating_mw","wind_turbine_hub_height_m","wind_turbine_qty"
Crediton Wind Farm,Wind Turbine - Onshore,Wind - Wind,40.0,Abandoned,,Australia,Queensland,,,POINT (148.54 -21.215),,,,https://en.wikipedia.org/wiki/List_of_wind_farms_in_Queensland,Source: https://en.wikipedia.org/wiki/List_of_wind_farms_in_Queensland,,{},{},{},{},{},{}
Crookwell 2 Wind Farm,Wind Turbine - Onshore,Wind - Wind,96.04,Operational,,Australia,New South Wales,2018-01-09,,POINT (149.60967120150264 -34.55681478527643),-34.5165,149.54248,,,,"MULTIPOINT ((149.5875582 -34.5327994), (149.5858913 -34.5376949), (149.5894068 -34.5394049), (149.5845171 -34.5428135), (149.5887476 -34.54206), (149.5879732 -34.545394), (149.5969491 -34.5416767), (149.5974373 -34.5446562), (149.5947191 -34.5483049), (149.5995894 -34.5487931), (149.5926034 -34.5521022), (149.592744 -34.5547921), (149.6036018 -34.5574055), (149.5981755 -34.5599988), (149.6077958 -34.5603295), (149.6061438 -34.5625319), (149.5715274 -34.5493531), (149.544192 -34.5451173), (149.5450878 -34.5418873), (149.5370627 -34.540186), (149.538157 -34.5377468), (149.5369178 -34.5424264), (149.5396 -34.5350291), (149.5684863 -34.5438534), (149.5692402 -34.5383406), (149.5646392 -34.5313841), (149.56385 -34.5247566), (149.5585695 -34.5210767))",{GE},"{""GE 3.4-130""}","{""""}",{3.43},{},{28}
Crookwell 3 Wind Farm,Wind Turbine - Onshore,Wind - Wind,57.6,Development,,Australia,New South Wales,2024-01-06,,,,,,,,,,,,,,
Crookwell Wind Farm,Wind Turbine - Onshore,Wind - Wind,4.8,Operational,,Australia,New South Wales,,,POINT (149.5422782 -34.5170429),,,,,,"MULTIPOINT ((149.5393839 -34.5120777), (149.545643 -34.5142121), (149.539428 -34.5145572), (149.545653 -34.516165), (149.5389035 -34.5186558), (149.5452588 -34.518782), (149.5440127 -34.5201431), (149.5428994 -34.5220081))",{Vestas},{V39/600},"{""""}",{0.6},{},{8}
Crowlands Wind Farm,Wind Turbine - Onshore,Wind - Wind,79.95,Operational,,Australia,Victoria,,,POINT (143.1537151 -37.12155984),-37.12155984,143.1537151,,,,"MULTIPOINT ((143.1216967 -37.083838), (143.124226 -37.0851838), (143.1297621 -37.0853079), (143.1280991 -37.0890267), (143.165701 -37.1660515), (143.1308967 -37.0593382), (143.135215 -37.063559), (143.1383532 -37.06745), (143.1400913 -37.0717667), (143.1410891 -37.0792074), (143.1433153 -37.077457), (143.1475264 -37.0760446), (143.1679112 -37.0794556), (143.1644592 -37.0763442), (143.1615651 -37.0765689), (143.1584859 -37.0777031), (143.1500289 -37.0757204), (143.1500986 -37.1668188), (143.1537759 -37.1671501), (143.1567612 -37.1670112), (143.1595078 -37.1674942), (143.1620237 -37.1671415), (143.1684503 -37.1663272), (143.1724307 -37.1656218), (143.1736645 -37.16267), (143.1742519 -37.1487086), (143.1727552 -37.1448346), (143.1797236 -37.1048217), (143.1821859 -37.1022204), (143.1833553 -37.1003935), (143.1797987 -37.0973728), (143.1756896 -37.0943904), (143.1721678 -37.0938599), (143.1690055 -37.0954002), (143.1490874 -37.1009754), (143.1517938 -37.1003004), (143.1547093 -37.1032643), (143.1534165 -37.1086464), (143.1505881 -37.1137585))",{Senvion},"{""MM92 2.05""}","{""""}",{2.05},{},{39}
Crudine Ridge Wind Farm,Wind Turbine - Onshore,Wind - Wind,141.71,Operational,,Australia,New South Wales,2022-01-06,,POINT (149.67865835322294 -32.910383576821054),-33.005358,149.616812,,,,"MULTIPOINT ((149.6676323 -32.9136985), (149.6678707 -32.9109232), (149.670389 -32.9052766), (149.6721471 -32.9196153), (149.6812191 -32.9057352), (149.68630620456787 -32.910788856521684), (149.68300284507268 -32.914155224769935), (149.6818546185102 -32.91658723495073), (149.66990422974803 -32.907959970124615), (149.6072843 -33.0260488), (149.6081331 -33.0235691), (149.6082465 -33.0210481), (149.6045061 -33.0185008), (149.6105018 -33.017731), (149.61060185028597 -33.01477503400909), (149.64561261356698 -32.95036894962618), (149.61507258088741 -33.00886728792672), (149.61665207004745 -33.00671372505798), (149.68004395354623 -32.91866328833235), (149.67848943143085 -32.92115448810881), (149.67834811123848 -32.92393476219208), (149.6786660816712 -32.926499950928964), (149.67834369498252 -32.92908359908812), (149.67623714086594 -32.93243815161442), (149.6741305867493 -32.93515135407979), (149.67283220748246 -32.93766432802023), (149.67224926168922 -32.94021429348141), (149.668504276593 -32.94653700108046), (149.67169722968796 -32.94278271633589), (149.66616366090787 -32.949238653255335), (149.66160166844992 -32.952129218471626), (149.6422253452076 -32.958610411470794), (149.6180894020509 -33.00393119235916), (149.61810265081894 -33.00133121358046), (149.68647512636002 -32.90304998777972), (149.68748865711427 -32.90030799131031), (149.6691589865462 -32.930190754486446))",{GE},"{""GE 3.8MW""}",,{3.8},,{37}
Cullerin Range Wind Farm,Wind Turbine - Onshore,Wind - Wind,30.0,Operational,,Australia,New South Wales,,,POINT (149.40012958 -34.80498162),-34.80498162,149.4001296,,,,"MULTIPOINT ((149.40138 -34.81652), (149.39458 -34.81688), (149.4008 -34.81444), (149.40044 -34.81166), (149.40071 -34.80963), (149.40102 -34.80747), (149.39963 -34.80527), (149.39845 -34.80312), (149.39891 -34.80101), (149.39983 -34.7969), (149.3983 -34.79401), (149.39552 -34.80752), (149.39697 -34.81263), (149.3990533 -34.8180581), (149.3993054 -34.7989557))","{Repower,Repower}","{MM82,MM92}","{""""}","{2.0,2.05}",{},"{8,7}"
Darlington Wind Farm - GPG,Wind Turbine - Onshore,Wind - Wind,360.0,Development,,Australia,Victoria,,,,,,,,,,,,,,,
Deal 1 (West) Off Shore Wind Farm,Wind Turbine - Offshore,Wind - Wind,2970.0,Development,,Australia,Victoria,,,,,,,,,,,,,,,
Deal 2 (East) Off Shore Wind Farm,Wind Turbine - Offshore,Wind - Wind,2968.0,Development,,Australia,Victoria,,,,,,,,,,,,,,,
Delburn Wind Farm,Wind Turbine - Onshore,Wind - Wind,205.0,Development,,Australia,Victoria,,,,,,,,,,,,,,,
Denham Wind Farm,Wind Turbine - Onshore,Wind - Wind,0.92,Operational,,Australia,Western Australia,,,POINT (113.5486894 -25.9116328),,,,,,"MULTIPOINT ((113.5479192 -25.9094043), (113.550668 -25.9108598), (113.5477812 -25.9122476), (113.5505621 -25.9137202))",{Enercon},{E/230},{},{0.23},{},{4}
Denmark Community Windfarm,Wind Turbine - Onshore,Wind - Wind,1.6,Operational,,Australia,Western Australia,,,POINT (117.3302306 -35.0335904),,,,https://www.dcw.net.au/index.htm,,"MULTIPOINT ((117.3185225 -35.0354861), (117.3213532 -35.0368915))",{Enercon},{E48/800},{},{0.8},{50.0},{2}
Derwent Valley Wind Farm,Wind Turbine - Onshore,Wind - Wind,150.0,Development,,Australia,Tasmania,,,,,,,,,,,,,,,
Diapur (Nhill) Wind Farm,Wind Turbine - Onshore,Wind - Wind,8.0,Operational,,Australia,Victoria,2021-01-10,,POINT (141.44746085887584 -36.34279402709895),,,,https://diapurwindfarm.com.au/,TODO Also known as Nhill Wind Farm,"MULTIPOINT ((141.4340677 -36.3403008), (141.4353349 -36.3448607))",{Vestas},{V150-4.0MW},,{4.0},,{2}
Dinawan Energy Hub - Wind,Wind Turbine - Onshore,Wind - Wind,772.0,Development,,Australia,New South Wales,2027-01-09,,,,,,,,,,,,,,
Dulacca Wind Farm,Wind Turbine - Onshore,Wind - Wind,172.99,Operational,,Australia,Queensland,2024-01-01,,POINT (149.86706836877096 -26.63190124820906),,,,https://www.dulaccawindfarm.com.au/projectsummary,,"MULTIPOINT ((149.869073511959 -26.629313567050804), (149.86129619747933 -26.6197358411918), (149.87035235544806 -26.62425918767244), (149.87417498544252 -26.616250008402243), (149.87565538578582 -26.60838940721215), (149.87476575553254 -26.598583093632726), (149.8684479906872 -26.59556894371907), (149.8629364532588 -26.594220318978238), (149.8578766811934 -26.59293382803233), (149.84858421518862 -26.58418903538842), (149.85302541621854 -26.59024271566928), (149.83648732881514 -26.570107086179075), (149.8359417352614 -26.564876029352764), (149.83661938330584 -26.557851180492865), (149.84321863272356 -26.548370060298303), (149.84993082348203 -26.55510095922767), (149.85493499365657 -26.558061776801885), (149.85329300031802 -26.567155127289862), (149.85859603065572 -26.57020887650822), (149.8614352022061 -26.57416852782858), (149.86495028424193 -26.57801926623472), (149.87106996735116 -26.580911119838287), (149.87775609472325 -26.581498494398588), (149.8793563866436 -26.58649416416835), (149.87813488260446 -26.591927775821443), (149.86174796284197 -26.612705814102014), (149.85326693693156 -26.611739549656523), (149.83951936942432 -26.604725343572486), (149.83903111532047 -26.61254891319585), (149.8434914295003 -26.618245365534083), (149.8397747906101 -26.585586724336483), (149.8436657645954 -26.597595217333943), (149.84313986337816 -26.64876400712305), (149.84670533462756 -26.657628090524366), (149.8419189385255 -26.665955270741073), (149.86695832336173 -26.67609530747568), (149.86663629574397 -26.68287070131432), (149.87651258160236 -26.678699524204504), (149.88577956340708 -26.68538989416628), (149.888202879149 -26.67892723508131), (149.88506832255356 -26.6711454756584), (149.87758060125537 -26.670712795080984), (149.86982877097577 -26.670465400424824))",{Vestas},{V150-4.2},,{4.2},,{43}
Dundonnell Wind Farm,Wind Turbine - Onshore,Wind - Wind,336.0,Operational,,Australia,Victoria,2022-01-06,,POINT (142.95180322664632 -37.86572298592945),-37.862415,142.970552,,,,"MULTIPOINT ((142.9957505 -37.8762593), (142.9997945 -37.8741954), (142.9957359 -37.8702948), (143.0021977 -37.8695979), (142.9927563 -37.8661277), (143.0030683 -37.8639062), (143.0103394 -37.86621), (143.0065322 -37.8693559), (143.0010783 -37.8587924), (142.9960226 -37.8582248), (142.9915686 -37.8571884), (143.0121195 -37.8607851), (143.0156046 -37.8628024), (143.0182613 -37.8580829), (143.0089783 -37.855356), (143.0136589 -37.8530732), (143.0175659 -37.8516048), (143.00672 -37.8510988), (143.0113225 -37.848495), (143.0149169 -37.8470203), (143.006509 -37.8434784), (143.0109005 -37.8422628), (143.0155577 -37.8411582), (142.9819288 -37.8430202), (142.9769291 -37.8420798), (142.9715218 -37.8420713), (142.9671337 -37.8448502), (142.9732491 -37.8467057), (142.978399 -37.8500775), (142.9836776 -37.8497301), (142.9814499 -37.8547991), (142.9736768 -37.8541058), (142.9682778 -37.8550431), (142.9621959 -37.8547735), (142.9627488 -37.8483661), (142.9565855 -37.8535408), (142.9526176 -37.8569048), (142.9584056 -37.8597961), (142.9644766 -37.8603123), (142.9511204 -37.8626572), (142.9612263 -37.8651052), (142.9679324 -37.8648988), (142.95523 -37.8678481), (142.9643085 -37.8701781), (142.9753857 -37.8691606), (142.9843895 -37.8645154), (142.9868553 -37.8696914), (142.9829698 -37.872095), (142.9771417 -37.8746017), (142.9863322 -37.8764154), (142.9917494 -37.8789072), (142.9885178 -37.8820329), (142.9817556 -37.8814137), (142.97292 -37.8739677), (142.9686796 -37.8735106), (142.9607033 -37.8762532), (142.9577705 -37.8729945), (142.9540719 -37.8771674), (142.9586858 -37.8808092), (142.9509523 -37.8819445), (142.9468988 -37.8802342), (142.9413882 -37.8827111), (142.945778 -37.8848194), (142.9492151 -37.8869572), (142.950037 -37.8751768), (142.944489 -37.8749999), (142.9405102 -37.8766218), (142.9415936 -37.8707974), (142.9467306 -37.86832), (142.9423408 -37.8658278), (142.9354331 -37.871377), (142.9331586 -37.8745105), (142.9334805 -37.8787957), (142.9776565 -37.8579862), (142.9726139 -37.8615438), (142.9507056 -37.8914382), (142.9542247 -37.8933686), (142.9569498 -37.8964673), (142.9516927 -37.8962472), (142.9534522 -37.899439))",{Vestas},{V150-4.2},"{""""}",{4.2},{},{80}
Eastern Rise Offshore Wind ,Wind Turbine - Offshore,Wind - Wind,1725.0,Development,,Australia,New South Wales,2033-01-06,,,,,,,,,,,,,,
Eden Offshore Wind Farm,Wind Turbine - Offshore,Wind - Wind,2000.0,Development,,Australia,New South Wales,2034-01-01,,,,,,,,,,,,,,
Emu Downs Wind Farm,Wind Turbine - Onshore,Wind - Wind,79.2,Operational,,Australia,Western Australia,,,POINT (115.355351 -30.4904682),,,,,,"MULTIPOINT ((115.3322992 -30.4697085), (115.3765726 -30.4900271), (115.3191304 -30.4685943), (115.3210616 -30.4709801), (115.3208256 -30.4739576), (115.3191519 -30.4759548), (115.3331566 -30.4736713), (115.333807 -30.479999), (115.3353611 -30.4832294), (115.339477 -30.4800434), (115.3396508 -30.4835363), (115.3387876 -30.49578), (115.3334101 -30.4933417), (115.3532639 -30.4954405), (115.350443 -30.4986726), (115.3612518 -30.4873274), (115.362947 -30.4906188), (115.3564884 -30.4943799), (115.3580427 -30.4979324), (115.3747487 -30.5007325), (115.3728604 -30.5035981), (115.3647679 -30.5090279), (115.3683454 -30.5085364), (115.3702613 -30.5123422), (115.3744697 -30.5106695), (115.377962 -30.5096158), (115.3813147 -30.5105447), (115.3848231 -30.5100317), (115.3895545 -30.5111779), (115.3915715 -30.5087007), (115.3882241 -30.5083124), (115.3835865 -30.4975416), (115.3874302 -30.4999744), (115.3874516 -30.4969793), (115.3901219 -30.4943773), (115.3833103 -30.4823902), (115.3810948 -30.4846), (115.3770018 -30.4861047), (115.3698818 -30.4793263), (115.3650981 -30.4777833), (115.3521538 -30.4847895), (115.3530872 -30.4816644), (115.3566549 -30.4761145), (115.3553931 -30.4790236), (115.3452469 -30.4868234), (115.3318926 -30.4775912), (115.3808512 -30.4992131), (115.3756358 -30.4976611))",{Vestas},{NM82/1650},"{""""}",{1.65},{},{48}
Esperance Hybrid Power Station - Wind,Wind Turbine - Onshore,Wind - Wind,9.0,Operational,,Australia,Western Australia,,,POINT (121.8403504 -33.7546016),,,,,,"MULTIPOINT ((121.8374973 -33.7520175), (121.8432036 -33.7571857))",{Enercon},{E44/600},"{""""}",{0.6},{},{6}
Euston Wind Farm,Wind Turbine - Onshore,Wind - Wind,330.0,Development,,Australia,New South Wales,,,,,,,,,,,,,,,
Exmoor,Wind Turbine - Onshore,Wind - Wind,144.0,Development,,Australia,South Australia,,,,,,,,,,,,,,,
Exmouth Advance Mini Wind Farm,Wind Turbine - Onshore,Wind - Wind,,Unknown,,Australia,Western Australia,,,POINT (114.1335056480001 -21.812631499999952),,,,,,,{},{},{},{},{},{}
Ferguson South Wind Farm,Wind Turbine - Onshore,Wind - Wind,8.0,Development,,Australia,Victoria,,,,,,,,,,,,,,,
Ferguson Wind Farm,Wind Turbine - Onshore,Wind - Wind,12.0,Operational,,Australia,Victoria,2021-01-04,,POINT (143.179524 -38.611251),-38.611251,143.179524,,,,"MULTIPOINT ((143.182788 -38.6086618), (143.1797619 -38.6115666), (143.1753908 -38.6090997))",{Vestas},{V136-4.0},,{4.0},,{3}
Fiery Creek Wind Farm,Wind Turbine - Onshore,Wind - Wind,200.0,Development,,Australia,Queensland,,,POINT (148.660244 -21.503165),-21.503165,148.660244,,,,,,,,,,
Flinders Island Wind Farm,Wind Turbine - Onshore,Wind - Wind,0.9,Operational,,Australia,Tasmania,,,POINT (148.0290642 -40.1161885),,,,,TODO Check Location,MULTIPOINT ((148.0290642 -40.1161885)),{Enercon},{E44/900},{},{0.9},{},{1}
Flyers Creek Wind Farm,Wind Turbine - Onshore,Wind - Wind,145.54,Development,,Australia,New South Wales,2023-01-12,,,,,,,,,,,,,,
Forest Wind,Wind Turbine - Onshore,Wind - Wind,1200.0,Development,,Australia,Queensland,,,POINT (152.797592 -25.800837),-25.800837,152.797592,,,,,,,,,,
Forsayth Wind Farm,Wind Turbine - Onshore,Wind - Wind,,Development,,Australia,Queensland,,,,,,,,,,,,,,,
Gayndah Wind Farm,Wind Turbine - Onshore,Wind - Wind,560.0,Development,,Australia,Queensland,,,,,,,,,,,,,,,
George Town Wind Farm,Wind Turbine - Onshore,Wind - Wind,232.0,Development,,Australia,Tasmania,,,,,,,,,,,,,,,
GEP - NMLLY1,Wind Turbine - Offshore,Wind - Wind,1012.0,Development,,Australia,New South Wales,,,,,,,,,,,,,,,
GEP - NWNG2,Wind Turbine - Offshore,Wind - Wind,2990.0,Development,,Australia,New South Wales,,,,,,,,,,,,,,,
GEP - QRNB1,Wind Turbine - Offshore,Wind - Wind,1012.0,Development,,Australia,Queensland,,,,,,,,,,,,,,,
GEP - SRBE1,Wind Turbine - Offshore,Wind - Wind,2001.0,Development,,Australia,South Australia,,,,,,,,,,,,,,,
GEP - TNTH1,Wind Turbine - Offshore,Wind - Wind,1012.0,Development,,Australia,Tasmania,,,,,,,,,,,,,,,
GEP - TNTH2,Wind Turbine - Offshore,Wind - Wind,1012.0,Development,,Australia,Tasmania,,,,,,,,,,,,,,,
GEP - VAGL1,Wind Turbine - Offshore,Wind - Wind,805.0,Development,,Australia,Victoria,,,,,,,,,,,,,,,
GEP - VBGL1,Wind Turbine - Offshore,Wind - Wind,3197.0,Development,,Australia,Victoria,,,,,,,,,,,,,,,
GEP - VPTL2,Wind Turbine - Offshore,Wind - Wind,2530.0,Development,,Australia,Victoria,,,,,,,,,,,,,,,
GEP - VSIR3,Wind Turbine - Offshore,Wind - Wind,3197.0,Development,,Australia,Victoria,,,,,,,,,,,,,,,
GEP - VSIR4,Wind Turbine - Offshore,Wind - Wind,3197.0,Development,,Australia,Victoria,,,,,,,,,,,,,,,
Golden Plains Wind Farm East,Wind Turbine - Onshore,Wind - Wind,756.4,Construction,,Australia,Victoria,2025-01-08,,,,,,,,,,,,,,
Golden Plains Wind Farm West,Wind Turbine - Onshore,Wind - Wind,576.6,Development,,Australia,Victoria,,,,,,,,,,,,,,,
Goyder South Wind Farm 1A,Wind Turbine - Onshore,Wind - Wind,209.0,Construction,,Australia,South Australia,2024-01-06,,,,,,,,,,,,,,
Goyder South Wind Farm 1B,Wind Turbine - Onshore,Wind - Wind,203.5,Construction,,Australia,South Australia,2024-01-12,,,,,,,,,,,,,,
Granite Hills Wind Farm,Wind Turbine - Onshore,Wind - Wind,121.0,Development,,Australia,New South Wales,,,,,,,,,,,,,,,
Granville Harbour Wind Farm,Wind Turbine - Onshore,Wind - Wind,111.6,Operational,,Australia,Tasmania,2020-01-12,,POINT (145.06554777439962 -41.77845531878696),-41.78272,145.04872,,,,"MULTIPOINT ((145.0287038 -41.7803682), (145.0325189 -41.7775178), (145.0382703 -41.7762885), (145.0389204 -41.7805891), (145.034521 -41.7838386), (145.0287072 -41.7850833), (145.0371471 -41.788224), (145.032961 -41.7899881), (145.0424201 -41.7889956), (145.0383535 -41.7922834), (145.0461574 -41.7921225), (145.0519238 -41.791322), (145.0593205 -41.7909069), (145.059009 -41.7858563), (145.0616072 -41.782026), (145.066671 -41.7800787), (145.0622369 -41.7773751), (145.0626677 -41.7733318), (145.0551648 -41.7782302), (145.0496968 -41.7769896), (145.0502866 -41.77219), (145.046005 -41.7688978), (145.0437647 -41.7747455), (145.0357781 -41.771928), (145.0297599 -41.7737767), (145.0427639 -41.7844428), (145.0471185 -41.7864641), (145.0499751 -41.7808843), (145.044295 -41.7790062), (145.0557613 -41.7824708), (145.0533355 -41.7870522))",{Vestas},{V126/3.6MW},"{""""}",{3.6},{},{31}
Grasmere Wind Farm,Wind Turbine - Onshore,Wind - Wind,13.8,Operational,,Australia,Western Australia,2012-02-24,,POINT (117.75888367436607 -35.04975635138308),,,,https://www.brightenergyinvestments.com.au/albany-grasmere-wind-farm,Albany Wind Farm Stage 2; https://comagecontra.net/Australia/WindWA.html#Salmon_Beach_Wind_Farm,"MULTIPOINT ((117.7520127 -35.046812), (117.7483509 -35.0474614), (117.7553407 -35.0487174), (117.7592192 -35.0490951), (117.7632941 -35.0506459), (117.7678431 -35.05307))",{Enercon},"{""E70 2.3MW""}",{},{2.3},{},{6}
Great Eastern Offshore Wind,Wind Turbine - Offshore,Wind - Wind,2508.0,Development,,Australia,Victoria,,,,,,,,,,,,,,,
Greater Gippsland Offshore Wind Project,Wind Turbine - Offshore,Wind - Wind,2100.0,Development,,Australia,Victoria,2030-01-12,,,,,,,,,,,,,,
Greater Southern Offshore Wind,Wind Turbine - Offshore,Wind - Wind,1500.0,Development,,Australia,Victoria,,,,,,,,,,,,,,,
Guildford Wind Farm,Wind Turbine - Onshore,Wind - Wind,525.6,Development,,Australia,Tasmania,,,,,,,,,,,,,,,
Gullen Range Wind Farm,Wind Turbine - Onshore,Wind - Wind,165.5,Operational,,Australia,New South Wales,,,POINT (149.45918123713128 -34.61440912928897),-34.614456,149.459531,,https://gullenrangewindfarm.com/,,"MULTIPOINT ((149.4205862 -34.5133858), (149.4698086 -34.6557123), (149.466672 -34.6536844), (149.4632463 -34.650364), (149.4597027 -34.6478393), (149.4525702 -34.644936), (149.463065 -34.6442375), (149.4603361 -34.6415881), (149.4570665 -34.6390938), (149.4554846 -34.6361237), (149.4552496 -34.6337034), (149.4516274 -34.6362554), (149.4460794 -34.6348974), (149.460277 -34.6336832), (149.4587374 -34.6314064), (149.4530453 -34.6307007), (149.4591999 -34.6293416), (149.4773633 -34.6261972), (149.4764379 -34.6240524), (149.4737094 -34.6177342), (149.470071 -34.6197011), (149.4657543 -34.6204917), (149.4654627 -34.6176398), (149.4630727 -34.614623), (149.4853622 -34.6683776), (149.4863448 -34.6658424), (149.486496 -34.6712663), (149.4281101 -34.5245776), (149.4195642 -34.515705), (149.432257 -34.5293362), (149.4327215 -34.5269559), (149.4240476 -34.530978), (149.4249613 -34.528679), (149.4276287 -34.5271294), (149.4893048 -34.6885446), (149.4888119 -34.6863009), (149.4910866 -34.6842711), (149.4874319 -34.699626), (149.4864736 -34.6971485), (149.4851787 -34.6943623), (149.4833282 -34.691975), (149.4836863 -34.6889838), (149.4821824 -34.6864993), (149.4807523 -34.6824627), (149.486764 -34.67804), (149.4874972 -34.6733643), (149.4808852 -34.6763118), (149.480903 -34.673616), (149.4825557 -34.67159), (149.4431024 -34.5783694), (149.4397027 -34.5761656), (149.444283 -34.5762542), (149.4474075 -34.5753892), (149.448746 -34.5734602), (149.4488593 -34.5710058), (149.4423922 -34.5727221), (149.4447038 -34.569782), (149.4468096 -34.5683785), (149.4469487 -34.5660588), (149.4471805 -34.5605819), (149.444765 -34.5577275), (149.4399642 -34.5563992), (149.4462972 -34.5557225), (149.4460939 -34.5532474), (149.4445701 -34.5484638), (149.4391992 -34.5443792), (149.4382064 -34.5462021), (149.4321011 -34.5456929), (149.4327299 -34.5429668), (149.4285309 -34.5469359), (149.4272856 -34.5438234), (149.4334099 -34.534515), (149.4307845 -34.5322684))","{Goldwind,Goldwind}","{GW82/1500,GW100/2.5MW}","{""""}","{1.5,2.5}",{},"{17,56}"
Gunning Wind Farm,Wind Turbine - Onshore,Wind - Wind,46.5,Operational,,Australia,New South Wales,,,POINT (149.38612574 -34.69773447),-34.69773447,149.3861257,,https://www.acciona.com.au/gunning/,,"MULTIPOINT ((149.3789463 -34.6669396), (149.3802281 -34.6709535), (149.3807457 -34.6746023), (149.3786013 -34.6804604), (149.3774428 -34.6779469), (149.3811154 -34.6788793), (149.3818549 -34.6814536), (149.3795379 -34.682771), (149.3821506 -34.684048), (149.3826929 -34.6863383), (149.3805978 -34.6873516), (149.3831859 -34.6887704), (149.3839746 -34.6908984), (149.3849113 -34.695438), (149.3846894 -34.7006461), (149.3856507 -34.702632), (149.3734744 -34.7013351), (149.3742385 -34.6991263), (149.3736716 -34.6970593), (149.3781576 -34.6921144), (149.3825066 -34.6982151), (149.3849133 -34.6970853), (149.3525862 -34.6855576), (149.3546676 -34.6891747), (149.3588948 -34.6942206), (149.3588519 -34.6962495), (149.3569636 -34.6982253), (149.3576503 -34.7002894), (149.3514919 -34.7003776), (149.352436 -34.7030237), (149.357264 -34.7042586))",{Acciona},{AW-1500/77},"{""""}",{1.5},{},{31}
Hallett 4 North Brown Hill,Wind Turbine - Onshore,Wind - Wind,132.3,Operational,,Australia,South Australia,,,POINT (138.72895445830883 -33.30924967323315),-33.252576,138.712289,,,TBC multipoint has both NBH adn BH,"MULTIPOINT ((138.7006134 -33.3282883), (138.7187977 -33.3029509), (138.7127156 -33.3083135), (138.7067718 -33.3344914), (138.6982316 -33.3427197), (138.6887473 -33.3237163), (138.7070497 -33.3015252), (138.7171144 -33.3169746), (138.7172431 -33.3260283), (138.6898202 -33.3319098), (138.7135524 -33.3149125), (138.7059135 -33.3135497), (138.6978239 -33.3244694), (138.7318129 -33.3068071), (138.7120289 -33.3247912), (138.7027807 -33.3100888), (138.6877817 -33.3272654), (138.6856145 -33.318409), (138.6964936 -33.3393307), (138.7047333 -33.3296141), (138.6930603 -33.3352085), (138.7132305 -33.318929), (138.7014717 -33.3169746), (138.6859364 -33.3146973), (138.7196431 -33.2283099), (138.7125621 -33.2326266), (138.72681 -33.2334343), (138.7199114 -33.233856), (138.7121759 -33.23968), (138.7198577 -33.2428924), (138.7263808 -33.2429642), (138.7289987 -33.2459253), (138.7341271 -33.2564049), (138.7357793 -33.2618954), (138.7270139 -33.2638959), (138.7297175 -33.2669998), (138.7215636 -33.2695833), (138.7322066 -33.2699063), (138.727679 -33.270606), (138.7336872 -33.2733688), (138.7180875 -33.27597), (138.708925 -33.2779074), (138.6983679 -33.2780868), (138.7210057 -33.2786429), (138.7148903 -33.2790197), (138.7025521 -33.2803112), (138.7342236 -33.2804368), (138.726928 -33.2816207), (138.7326572 -33.2842756), (138.7229798 -33.2858541), (138.7269066 -33.2886343), (138.7307904 -33.2903742), (138.7065727 -33.2910714), (138.7310264 -33.2941049), (138.7129457 -33.2959141), (138.7191255 -33.2961114), (138.7067229 -33.2961831), (138.7286956 -33.2970799), (138.7233956 -33.2988375), (138.7271936 -33.3004158), (138.7128384 -33.3008283), (138.7304122 -33.3027472), (138.7422824 -33.2442868))",{Suzlon},{S88/2100},"{""""}",{2.1},{},{63}
Hallett 5 The Bluff WF,Wind Turbine - Onshore,Wind - Wind,52.5,Operational,,Australia,South Australia,,,POINT (138.80342380382365 -33.35960077124496),-33.369331,138.982476,,,,"MULTIPOINT ((138.80506058448518 -33.36411991352112), (138.8075487690997 -33.36199243390145), (138.81178146303904 -33.36127262001636), (138.808518327071 -33.357925987756715), (138.81053389561356 -33.355627099016075), (138.81165288366648 -33.35314237321082), (138.80580078465678 -33.36822960406634), (138.80402152415024 -33.37304141025034), (138.80090086802747 -33.37789357733347), (138.80233956695264 -33.375444311515125), (138.7998027306836 -33.38038920377999), (138.79765510765034 -33.38266422408811), (138.79614690636163 -33.38510748317878), (138.79422169089167 -33.387544870389775), (138.79206711762205 -33.38976167275055), (138.79041296136992 -33.39215250617285), (138.78808463219147 -33.39437499379581), (138.78619069278517 -33.39649878003969), (138.78442880786955 -33.3988285022489), (138.78147843253737 -33.4036676259732), (138.7830665615442 -33.4012597024116), (138.7795914433674 -33.40751436297647), (138.7785697586234 -33.409858294161936), (138.77558810722772 -33.41542197655384), (138.77738126820694 -33.4124864388097))","{Suzlon,Suzlon}","{S88/2100,S97/}","{""""}","{2.1,2.1}",{},"{24,1}"
